; China eventmsg.txt																	   
;REASON PHRASES FOR AUTOMATICALLY TRIGGERED EVENTS

	;Provocation (HIGH BENEVOLENCE/HOSTILITY)
PHRASE_really_benevolent		"因为 [leader_name] 确实对您感到非常满意"
PHRASE_vassal_under_attack_first_reminder_P			"噢伟大的 [player_name], 如果没有必要我不会求您帮忙! 我, 您谦恭的仆人, [city_name] 的 [leader_name], 迫切需要您迅速派来一支强大的军队, 帮我一起抵挡 [rival_city_name] 进攻, 保卫我的城市!"
PHRASE_vassal_under_attack_last_reminder_P			"[city_name] 一片惊慌, [player_name]. 我的人民一直在问我, '为什么, [leader_name], 为什么我们最信任的善良的 [player_name] 没有派军队来帮我们? 可恨的 [rival_city_name] 的军队就在我们城市的外边了!' 令人遗憾的是, 我无法回答他们的问题, 只能希望您马上派部队来, 否则就太晚了!"
PHRASE_vassal_under_attack_early_reason_P	 		 	"您的部队赶在入侵我们城市的敌人之前到达, 因此我们能够保卫 [city_name] 不受侵犯!"
PHRASE_vassal_under_attack_comply_reason_P	 		"主人, 您强大的军队及时赶到, 因此咱们的联军能够保卫我的城市!"
PHRASE_vassal_under_attack_too_late_reason_P 			"主人, 您派来的部队到得太晚了, 没能帮助我保卫城市, 因此我的部队遭受了巨大的损失."
PHRASE_vassal_under_attack_refuse_reason_P	 		"您完全拒绝派援军来帮助我, 这种行为极大的伤害了我和我的人民. 因此,"
PHRASE_vassal_under_attack_lost_battle_reason_P			"您派来帮我保卫城市的部队实力太弱. 即使和我那些英勇的军队联合 也没能打败敌人!"
PHRASE_vassal_under_attack_no_reason_P				""

PHRASE_CONDENSED_vassal_under_attack_title_P					"N/A"
PHRASE_CONDENSED_vassal_under_attack_spy_report_P		"密探报告说 [city_name] 将请求您的军事援助."
PHRASE_CONDENSED_vassal_under_attack_initial_announcement_P	"[city_name] 请求您在 [travel_time] 个月内派出部队. [rival_city_name] 正在进攻他们."
PHRASE_CONDENSED_vassal_under_attack_first_reminder_P		"迅速派部队去 [city_name]."
PHRASE_CONDENSED_vassal_under_attack_last_reminder_P		"马上派部队去 [city_name], 否则就太晚了."
PHRASE_CONDENSED_vassal_under_attack_early_reason_P	 	"您的军队保卫了他们, 因此"
PHRASE_CONDENSED_vassal_under_attack_comply_reason_P	    	"您的军队保卫了他们, 因此"
PHRASE_CONDENSED_vassal_under_attack_too_late_reason_P 	"您的部队到得太晚, 没能保卫他们"
PHRASE_CONDENSED_vassal_under_attack_refuse_reason_P	 	"您没有派部队去保卫他们"
PHRASE_CONDENSED_vassal_under_attack_lost_battle_reason_P	"您派去的部队太弱了"
PHRASE_CONDENSED_vassal_under_attack_no_reason_P		""

;*****Colony under attack (plea tone only)**********************

;*****Parent city under attack (requisition tone only)**********************

;*****Ally attacks rival (standard tone only)*********************
PHRASE_ally_attacks_rival_title_S 					"[city_name] 进攻 [rival_city_name]"
PHRASE_ally_attacks_rival_spy_report_S				"出人意料的消息"
PHRASE_ally_attacks_rival_initial_announcement_S		"一定要小声点, [player_name], 因为我们的计划不能让别人知道. 我, 您的同盟城市 [city_name] 的 [leader_name] 接到一个报告, 说我们共同的敌人 [rival_city_name] 的防御出现了弱点. 现在正是打击他们的最佳时机. 如果您借我一些部队, 咱们就能真的开始行动, 去打败他们! [travel_time] 个月内派部队来, 您就可以与我分享胜利的荣耀."
PHRASE_ally_attacks_rival_first_reminder_S 			"最高贵的 [player_name], 我的准备工作差不多都做好了. 就等您派来军队, 咱们就可以征服讨厌的 [rival_city_name]. 请迅速派出部队, 否则机会就没了."
PHRASE_ally_attacks_rival_last_reminder_S 			"您好, [player_name]. 我, [city_name] 的 [leader_name], 不能相信您会放过这样的好机会! 我给了您一个绝好的 一定会胜利的练兵机会, 那就是去攻打 [rival_city_name]. 如果您想分享胜利的光荣, 那就马上派部队来."
PHRASE_ally_attacks_rival_early_reason_S				"您的部队提前到达了 [rival_city_name], 那不值一提的敌人完全被打败了. 因此,"
PHRASE_ally_attacks_rival_comply_reason_S				"您派去打击 [rival_city_name] 的部队真是非常强大, 我们迅速击败了敌人. 我的人民歌颂着您的功绩, 而且"
PHRASE_ally_attacks_rival_too_late_reason_S			"您等了太久才派出进攻 [rival_city_name] 需要的部队!"
PHRASE_ally_attacks_rival_refuse_reason_S				"您拒绝派给我用于打击 [rival_city_name] 所需的的军队!"
PHRASE_ally_attacks_rival_lost_battle_reason_S 			"您派来帮助我攻打 [rival_city_name] 的士兵非常虚弱, 所以我们失败了!"
PHRASE_ally_attacks_rival_no_reason_S				""			

PHRASE_CONDENSED_ally_attacks_rival_title_S 			"N/A"
PHRASE_CONDENSED_ally_attacks_rival_spy_report_S		"出人意料的消息"
PHRASE_CONDENSED_ally_attacks_rival_initial_announcement_S	"[city_name] 要进攻对手, 请在 [travel_time] 个月内派出军队援助."
PHRASE_CONDENSED_ally_attacks_rival_first_reminder_S 		"立刻给 [city_name] 派去他们要求的军队."
PHRASE_CONDENSED_ally_attacks_rival_last_reminder_S 		"如果您想帮助 [city_name], 那么现在就派出部队."
PHRASE_CONDENSED_ally_attacks_rival_early_reason_S		"由于您的部队提前到达了 [rival_city_name],"
PHRASE_CONDENSED_ally_attacks_rival_comply_reason_S 		"由于您的部队帮助 [city_name] 赢得了战斗"
PHRASE_CONDENSED_ally_attacks_rival_too_late_reason_S		"由于您的部队到得太晚 没能帮助 [city_name]"
PHRASE_CONDENSED_ally_attacks_rival_refuse_reason_S		"由于您没有派部队去帮助 [city_name]"
PHRASE_CONDENSED_ally_attacks_rival_lost_battle_reason_S 	"由于您的部队没能帮 [city_name] 取得战斗胜利"
PHRASE_CONDENSED_ally_attacks_rival_no_reason_S			""	

;*****Vassal attacks rival (plea tone only)*********************
PHRASE_vassal_attacks_rival_title_P 				"[city_name] 进攻 [rival_city_name]"
PHRASE_vassal_attacks_rival_spy_report_P			"出人意料的消息"
PHRASE_vassal_attacks_rival_initial_announcement_P		"我有一条激动人心的消息, 最值得尊敬的 [player_name]. 据我在 [rival_city_name] 密探报告说, 现在正是进攻对手的好时机. 假如我 [city_name] 的卑微的 [leader_name] 打败了他们, 想想他们该有多么惭愧吧 - 当然, 我需要您派部队支援. 请在 [travel_time] 个月内派军队来帮助我."
PHRASE_vassal_attacks_rival_first_reminder_P 			"如果我们不迅速行动, [player_name], 咱们就没法打败 [rival_city_name] 了. 马上派部队来进攻敌人, 到那时我们的敌人就少了!"
PHRASE_vassal_attacks_rival_last_reminder_P 			"现在是该行动的时候了, [player_name]. 如果您现在派出军队, 我, [city_name] 的 [leader_name], 还能够打败 [rival_city_name]. 要是您再拖延下去, 机会就溜走了."
PHRASE_vassal_attacks_rival_early_reason_P			"谢谢您! 感谢您派部队进攻 [rival_city_name]. 您的部队提前到达, 和我的部队联合起来痛击了卑劣的敌人."
PHRASE_vassal_attacks_rival_comply_reason_P 			"在您那些战术熟练的士兵们的帮助之下, [rival_city_name] 被打败了. 因此,"
PHRASE_vassal_attacks_rival_too_late_reason_P			"您的士兵到得太晚了, 在我与 [rival_city_name] 的战斗中没能帮上我的忙."
PHRASE_vassal_attacks_rival_refuse_reason_P			"由于您拒绝派军队去 [rival_city_name],"
PHRASE_vassal_attacks_rival_lost_battle_reason_P 		"您派去打击 [rival_city_name] 的兵力太弱了! 因此,"
PHRASE_vassal_attacks_rival_no_reason_P				""	

PHRASE_CONDENSED_vassal_attacks_rival_title_P 				"N/A"
PHRASE_CONDENSED_vassal_attacks_rival_spy_report_P		"出人意料的消息"
PHRASE_CONDENSED_vassal_attacks_rival_initial_announcement_P	"[city_name] 请求在 [travel_time] 个月内派部队去进攻 [rival_city_name]."
PHRASE_CONDENSED_vassal_attacks_rival_first_reminder_P 		"立刻给 [city_name] 派去他们要求的军队."
PHRASE_CONDENSED_vassal_attacks_rival_last_reminder_P 		"如果您想帮助 [city_name], 那么现在就派出部队."
PHRASE_CONDENSED_vassal_attacks_rival_early_reason_P			"由于您的部队提前到达帮助了 [city_name]"
PHRASE_CONDENSED_vassal_attacks_rival_comply_reason_P 		"由于您的部队帮助 [city_name] 取得胜利"
PHRASE_CONDENSED_vassal_attacks_rival_too_late_reason_P		"由于您的部队到得太晚 没能帮助 [city_name]"
PHRASE_CONDENSED_vassal_attacks_rival_refuse_reason_P			"由于您没有派部队去帮助 [city_name]"
PHRASE_CONDENSED_vassal_attacks_rival_lost_battle_reason_P 		"由于您派去帮助 [city_name] 的部队没有打赢敌人"
PHRASE_CONDENSED_vassal_attacks_rival_no_reason_P			""	




;*******************************************AWARDS*********************************************

;********************Gift**************************
PHRASE_gift_title 					"[city_name] 送来 [itemshort] 礼物"
PHRASE_gift_granted					"您好, [player_name]. 请允许我, [city_name] 的 [leader_name], 送给您 [amount] [item] 作为礼物. 请接受我的敬意."
PHRASE_gift_cash_granted				"您好, [player_name]. 我, [city_name] 的 [leader_name], 想送您 [amount] 现金作为一份小礼物. 请接受我的敬意."
PHRASE_gift_animal_granted				"您好, [player_name]. 我, [city_name] 的 [leader_name], 想送您 [animal]. 请接受我的敬意."
PHRASE_gift_partial_space				"您好, [player_name]. 允许我, [city_name] 的 [leader_name], 送给您 [amount] [item] 作为谦恭的礼物. 我已经注意到, 您没有足够的存储空间收下全部礼物. 我可以先把您能收下的部分给您, 或者您可以清理出一些空间来, 我下个月再把剩下的礼物送来."
PHRASE_gift_insufficient_space 			"您好, [player_name]. 我, [city_name] 的 [leader_name], 想要送您 [amount] [item] 作为礼物. 问题是: 现在您的存储设施里 没有地方接收礼物. 我会一个月后再把礼物送来. 如果您想收下礼物, 就在存储设施里 清理出一些空间来."
PHRASE_gift_last_chance 				"您好, [player_name]. 我, [city_name] 的 [leader_name], 一直都在努力送您 [amount] [item] 作为礼物. 但是您依然没有地方存放. 如果您现在还是一点礼物都不能收下, 那么我只能把礼物带回去了."
PHRASE_gift_forfeited 					"您好, [player_name]. 看来您并不想收下我的人民 满怀敬爱之心为您准备的 [amount] [item]. 您根本没有地方存放. 或许我能找到 比您更愿意接受这份礼物的人."
PHRASE_gift_accepted 					"[player_name], 我, [city_name] 的 [leader_name], 已经在您仅有的一点点存放空间里, 留下了部分礼物."
PHRASE_gift_cash_accepted 				"[player_name], 您的金库里存放着 [amount_granted] 闪闪发光的现金, 那是我, [city_name] 的 [leader_name],送给您的."
PHRASE_gift_animal_accepted				"[player_name], 您的皇宫内驯养着可爱的 [animal], 那是我, [city_name] 的 [leader_name], 送给您的."
PHRASE_gift_postponed 					"我, [city_name] 的 [leader_name], 一个月后还会再把 [amount] [item] 送来."
PHRASE_gift_refused 					"您真的拒绝接受我的礼物吗, [player_name]? 那样可是太没礼貌了! 我想现在我除了带着本来想送给您的 [item] 回自己的城市 [city_name] 去, 已经没有别的事可做了."
PHRASE_gift_accepted_reason  	 			"由于您接受了我和我的人民送给您的 [amount] [item] 礼物,"
PHRASE_gift_forfeited_reason  	 		"由于您没有接受我的人民送给您的 [amount] [item] 礼物,"
PHRASE_gift_refused_reason  	 			"由于您拒绝接受我的 [amount] [item] 礼物,"
PHRASE_gift_no_reason  					"na"

PHRASE_CONDENSED_gift_title 				"N/A"
PHRASE_CONDENSED_gift_granted				"[city_name] 希望您接受 [amount] [item]."
PHRASE_CONDENSED_gift_cash_granted			"[city_name] 希望您接受 [amount] 现金."
PHRASE_CONDENSED_gift_animal_granted			"[city_name] 希望您接受 [animal]."
PHRASE_CONDENSED_gift_partial_space			"现在接受部分礼物 或清理出空间以备接受全部礼物."
PHRASE_CONDENSED_gift_insufficient_space 		"清理出存储空间准备接受 [city_name] 的礼物."
PHRASE_CONDENSED_gift_last_chance 			"现在接受部分礼物或放弃全部礼物."
PHRASE_CONDENSED_gift_forfeited 			"还是没有足够的空间存放 [city_name] 的礼物. 礼物被带回去了."
PHRASE_CONDENSED_gift_accepted 			"已经尽可能多地接受了 [city_name] 的礼物."
PHRASE_CONDENSED_gift_cash_accepted 		"金库中装满了 [city_name] 送来的 [amount_granted] 现金."
PHRASE_CONDENSED_gift_animal_accepted 		"皇宫动物园接受了 [city_name] 送来的 [animal]."
PHRASE_CONDENSED_gift_postponed 			"下个月 [city_name] 会再把礼物送来."
PHRASE_CONDENSED_gift_refused 			"[city_name] 的礼物被拒绝了."
PHRASE_CONDENSED_gift_accepted_reason  	 	"由于您接受了 [city_name] 的 [amount] [item] 礼物"
PHRASE_CONDENSED_gift_forfeited_reason  	 	"由于您没有接受 [city_name] 的 [amount] [item] 礼物"
PHRASE_CONDENSED_gift_refused_reason  	 	"由于您没有接受 [city_name] 的 [amount] [item] 礼物"
PHRASE_CONDENSED_gift_no_reason  			""

;********************Request granted**************************
PHRASE_request_granted_title 				"[city_name] 同意送 [itemshort]"
PHRASE_request_granted_granted			"您好, 高贵的 [player_name]. 我, [city_name] 谦恭的 [leader_name], 已经知道了您的要求, 决定满足您. 这里是您要求的 [amount] [item]."
PHRASE_request_granted_cash_granted			"您好, [player_name]. 您谦恭的要求 [amount] 现金, 看起来是合理的, 因此我, [city_name] 的 [leader_name], 决定满足您的要求."
PHRASE_request_granted_animal_granted			"您好, [player_name]. 您要求我送给您 [animal], 看来是合情合理的, 因此我, [city_name] 的 [leader_name], 决定满足您的要求."
PHRASE_request_granted_partial_space		"您好, [player_name]. 我, [city_name] 的 [leader_name], 已经送来您所要求的 [amount] [item]. 然而, 您却没有足够的空间全部接收. 您现有的存储空间能收下一半的东西. 我可以把您能接收的数量送给您, 或者我也可以下个月带着东西再来, 希望那时您已经清理出足够的空间 能存放全部东西了."
PHRASE_request_granted_insufficient_space 	"您好, [player_name]. 我, [city_name] 的 [leader_name], 已经送来了您想要的 [amount] [item]. 但是您没有足够的存储空间全部接收. 我一个月后会带着 [amount] [item] 再来您的城市. 我建议您在此之前清理出一些空间来."
PHRASE_request_granted_last_chance 			"[player_name], 我尽力满足您要求的 [item], 但是您却给我造成因扰. 您还是没有足够的空间接收全部东西, 而我也没有心情再来回跑了. 接收您现在能存放的 [item] 量吧, 否则, 我会把全部东西都带回我的城市 [city_name]."
PHRASE_request_granted_forfeited 			"我有一个小问题, [player_name]. 您要求我, [city_name] 的 [leader_name], 送您 [amount] [item]. 然而, 您却始终没有腾出足够的存储空间. 我会高兴的把东西带回我的城市. 我知道我们有地方放它们."
PHRASE_request_granted_accepted 			"我已经把 [amount] [item] 中的一部分, 按您城市能存放的量留给您了."
PHRASE_request_granted_cash_accepted 		"您的金库中装满了 [amount_granted] 现金, 那是我, [city_name] 的 [leader_name], 按您的要求送给您的."
PHRASE_request_granted_animal_accepted 		"现在您的皇宫中驯养着可爱的 [animal], 那是我, [city_name] 的 [leader_name], 按您的要求送来的."
PHRASE_request_granted_postponed 			"我会在一个月后带着您要求的 [item] 再来."
PHRASE_request_granted_refused 			"什么? [player_name], 您真的拒绝接受您向我要求的 [item]? 随您的便吧!"
PHRASE_request_granted_accepted_reason  	 	"由于您接受了我按您的要求送来的 [amount] [item],"
PHRASE_request_granted_forfeited_reason  	 	"由于您始终没有足够的存储空间 来接受您向我要求的 [amount] [item],"
PHRASE_request_granted_refused_reason  	 	"由于您拒绝接受我按您的要求送来的 [amount] [item],"
PHRASE_request_granted_no_reason  			""

PHRASE_CONDENSED_request_granted_title 				"N/A"
PHRASE_CONDENSED_request_granted_granted				"[city_name] 同意送您 [item]."
PHRASE_CONDENSED_request_granted_cash_granted			"[city_name] 同意送您现金."
PHRASE_CONDENSED_request_granted_animal_granted			"[city_name] 同意送您动物."
PHRASE_CONDENSED_request_granted_partial_space			"现在接受部分 [item] 或等下个月再接受."
PHRASE_CONDENSED_request_granted_insufficient_space 		"清理足够的存储空间准备接受 [item]."
PHRASE_CONDENSED_request_granted_last_chance 			"现在接收部分 [item] 否则就会失去全部."
PHRASE_CONDENSED_request_granted_forfeited 			"[city_name] 的 [item] 礼物被取消了."
PHRASE_CONDENSED_request_granted_accepted 			"已经尽可能多的接收了 [item]."
PHRASE_CONDENSED_request_granted_cash_accepted 			"接收了 [city_name] 的货物."
PHRASE_CONDENSED_request_granted_animal_accepted 		"接收了 [city_name] 的动物."
PHRASE_CONDENSED_request_granted_postponed 			"下个月 [city_name] 会再把东西送过来."
PHRASE_CONDENSED_request_granted_refused 				"拒绝了 [city_name] 的 [item]."
PHRASE_CONDENSED_request_granted_accepted_reason  	 	"由于您接收了 [city_name] 的 [item]"
PHRASE_CONDENSED_request_granted_forfeited_reason  	 	"由于您没有接收 [city_name] 的 [item]"
PHRASE_CONDENSED_request_granted_refused_reason  	 	"由于您拒绝接收 [city_name] 的 [item]"
PHRASE_CONDENSED_request_granted_no_reason  			""

;********************Tribute Paid**************************
PHRASE_tribute_paid_title 					"[city_name] 进贡"
PHRASE_tribute_paid_granted					"最令人敬畏的 [player_name], 我, [city_name] 的 [leader_name], 带着最大的敬意送来了我的年贡 [amount] [item]."
PHRASE_tribute_paid_cash_granted				"可怕的主人 [player_name], 我, [city_name] 的 [leader_name], 愉快而心甘情愿地送来了我的年贡 [amount] 现金. 您可以在来年用这些钱做高尚的事业."
PHRASE_tribute_paid_partial_space				"最尊贵的 [player_name], 我, [city_name] 谦恭的 [leader_name], 希望交给您年贡 [amount] [item]. 令人遗憾的是, 您没有足够的存储空间放下全部贡品, 但是我会很高兴按您能接收的量 尽可能多的送出贡品."
PHRASE_tribute_paid_insufficient_space 			"高尚的 [player_name], 我, [city_name] 的 [leader_name], 我尽力满足您要求的贡品. 但令人遗憾的是: 我有您要的 [amount] [item], 而您却没有存储空间来存放它们."
PHRASE_tribute_paid_last_chance 				"噢,伟大的 [player_name], 我, [city_name] 的 [leader_name], 我一直尽力完成自己的义务. 我带来了我的年贡 [amount] [item], 但是您还是没有地方接收. 我必须回自己的城市了, 所以现在尽可能的接收我的贡品吧, 或者免除我今年的岁贡."
PHRASE_tribute_paid_forfeited 				"明智的 [player_name], 您不能接收我的年贡 [amount] [item]. 我, [city_name] 谦恭的 [leader_name], 现在必须回家了. 真是令人遗憾, 我要把 [amount] [item] 带回去了."
PHRASE_tribute_paid_accepted 					"我已经按您的存储空间, 尽可能多的把 [amount] [item] 中的一部分留下了."
PHRASE_tribute_paid_cash_accepted 				"我的年贡 [amount] 现金已经放入您的金库. 我为此感到自豪."
PHRASE_tribute_paid_postponed 				"一个月后我会带着我的年贡 [amount] [item] 回来. 但愿那时您有足够的存储空间."
PHRASE_tribute_paid_refused 					"我要带着我的年贡 [amount] [item] 回家去了, 因为您拒绝接受它们. 但我求您要守信用, 我才觉得进贡是值得的."
PHRASE_tribute_paid_accepted_reason  	 		"由于您接收了我的年贡 [amount] [item],"
PHRASE_tribute_paid_forfeited_reason  	 		"由于您没有接收我的年贡 [amount] [item],"
PHRASE_tribute_paid_refused_reason  	 		"由于拒绝接收我的年贡 [amount] [item],"
PHRASE_tribute_paid_no_reason  				""

PHRASE_CONDENSED_tribute_paid_title 			"N/A"
PHRASE_CONDENSED_tribute_paid_granted			"[city_name] 送来贡品 [amount] [item]."
PHRASE_CONDENSED_tribute_paid_cash_granted		"[city_name] 送来贡品 [amount] 现金."
PHRASE_CONDENSED_tribute_paid_partial_space		"[city_name] 送来贡品 [amount] [item]."
PHRASE_CONDENSED_tribute_paid_insufficient_space 	"没有地方放 [city_name] 的贡品 [amount] [item]."
PHRASE_CONDENSED_tribute_paid_last_chance 		"现在接收部分贡品或者放弃全部贡品."
PHRASE_CONDENSED_tribute_paid_forfeited 			"由于缺少存储空间, 失去了 [city_name] 送来的贡品."
PHRASE_CONDENSED_tribute_paid_accepted 			"[city_name] 的贡品 [amount] [item] 被接受了"
PHRASE_CONDENSED_tribute_paid_cash_accepted 		"[city_name] 的贡品 [amount_granted] 现金被接受了."
PHRASE_CONDENSED_tribute_paid_postponed 			"[city_name] 的贡品延迟交付."
PHRASE_CONDENSED_tribute_paid_refused 			"[city_name] 的贡品被拒绝了."
PHRASE_CONDENSED_tribute_paid_accepted_reason  	 	"由于您接受了 [city_name] 送来的的贡品"
PHRASE_CONDENSED_tribute_paid_forfeited_reason 		"由于您失去了 [city_name] 送来的的贡品"
PHRASE_CONDENSED_tribute_paid_refused_reason  	 	"由于您拒绝了 [city_name] 送来的的贡品"
PHRASE_CONDENSED_tribute_paid_no_reason  			""

;********************Rescue cash**************************
PHRASE_rescue_cash_title 					"来自 [city_name] 的援助"
PHRASE_rescue_cash_granted					"您好, 领主 [player_name]. 您是整个中国最高贵的领导者之一. 最近我注意到您的城市出现了财政困难. 我, [city_name] 的 [leader_name], 很荣幸地送给您 [amount] 现金, 帮您渡过这段艰难时期."
PHRASE_rescue_cash_cash_granted				"您好, 最值得尊敬的 [player_name]. 我已经注意到您的城市可以使用现金. 因为我对您的评价非常高, 我, [city_name] 谦恭的 [leader_name], 决定送给您 [amount] 现金. 把这些钱用在适当的地方. 或许有一天您能把钱还给我呢 ...还有利息."
PHRASE_rescue_cash_partial_space				""
PHRASE_rescue_cash_insufficient_space 			""
PHRASE_rescue_cash_last_chance 				""
PHRASE_rescue_cash_forfeited 					""
PHRASE_rescue_cash_accepted 					"我在您的金库内存了 [amount] 现金. 希望将来能获得更多回报."
PHRASE_rescue_cash_cash_accepted 				"我答应给您的现金, 现在已经安全地放进了您的金库."
PHRASE_rescue_cash_postponed 					"您延迟了接受 [city_name] 的财政援助."
PHRASE_rescue_cash_refused 					"我本来以为您, 即使是面对小小的财政帮助, 也会表示感谢. 但是现在看来您不需要它, 那我就带着我谦恭的礼物 [amount] 现金回家, 因为您是如此不礼貌地拒绝接受它."
PHRASE_rescue_cash_accepted_reason  	 		"由于您接受了 [city_name] 的财政援助,"
PHRASE_rescue_cash_forfeited_reason  	 		"由于您失去了 [city_name] 的财政援助,"
PHRASE_rescue_cash_refused_reason  	 			"由于您拒绝接受 [city_name] 的财政援助,"
PHRASE_rescue_cash_no_reason  				""

PHRASE_CONDENSED_rescue_cash_title 				""
PHRASE_CONDENSED_rescue_cash_granted			"[city_name] 同意借给您 [amount] 现金."
PHRASE_CONDENSED_rescue_cash_cash_granted			"[city_name] 同意借您 [amount] 现金."
PHRASE_CONDENSED_rescue_cash_partial_space		""
PHRASE_CONDENSED_rescue_cash_insufficient_space 	""
PHRASE_CONDENSED_rescue_cash_last_chance 			""
PHRASE_CONDENSED_rescue_cash_forfeited 			""
PHRASE_CONDENSED_rescue_cash_accepted 			"[amount] 现金已经存进了您的金库."
PHRASE_CONDENSED_rescue_cash_cash_accepted 		"[amount] 现金已经存进了您的金库."
PHRASE_CONDENSED_rescue_cash_postponed 			"[city_name] 的财政援助延迟一个月."
PHRASE_CONDENSED_rescue_cash_refused 			"拒绝了 [city_name] 的财政援助."
PHRASE_CONDENSED_rescue_cash_accepted_reason  	 	"由于您接受了 [city_name] 的财政援助"
PHRASE_CONDENSED_rescue_cash_forfeited_reason  	 	"由于您失去了 [city_name] 的财政援助"
PHRASE_CONDENSED_rescue_cash_refused_reason  	 	"由于您拒绝了 [city_name] 的财政援助"
PHRASE_CONDENSED_rescue_cash_no_reason  			""


;*******************************************INVASIONS****************************************
;********Invasion****************************************
PHRASE_invasion_title 					"[city_name] 发动侵略!"
PHRASE_invasion_spy_report				"[greeting] [player_name], 请接见我, 您最信任的密探, 因为我有一条重要消息要告诉您! 我们在 [city_name] 密探报告说那个城市的 [a_foreign_army] 现在正准备再次进攻您的城市. 一年之内他们就会到达您的边境."
PHRASE_invasion_initial_announcement		"恐怖啊, [player_name], [reason_phrase], [city_name] 的领导者 [leader_name] 的 [a_foreign_army] 正在接近, @L他们将在 [time_until_attack] 个月后进攻您的城市."
PHRASE_invasion_6month_notleft_warning 			"[greeting] [player_name], 就在六个月后, 来自 [city_name] 的 [a_foreign_army] 会到达这里并进攻您的城市. 请务必做好迎战准备."
PHRASE_invasion_6month_warning 			"[greeting] [player_name], 就在六个月后, 来自 [city_name] 的 [a_foreign_army] 会到达这里并进攻您的城市. 请务必做好迎战准备."
PHRASE_invasion_2month_warning 			"[greeting] [player_name], 就在两个月后, 来自 [city_name] 的 [a_foreign_army], 会到达这里并进攻您的城市. 请务必做好迎战准备."
PHRASE_invasion_1month_Warning 			"[greeting] [player_name], 准备时间过去了. [reason_phrase], 就在一个月后, 来自 [city_name] 的 [a_foreign_army], 会到达这里, 他们决心要征服您的城市."
PHRASE_invasion_city_attacked_alert  		"[greeting] [player_name], 来自 [city_name] 的 [a_foreign_army] 已兵临城下, 他们决心要毁掉我们的城市!"
PHRASE_invasion_reason  	 	 		"由于您的城市受到了来自 [city_name] 的 [a_foreign_army] 的攻击"
PHRASE_invasion_no_reason	  	 		"由于他们渴望得到更多的土地,"
PHRASE_invasion_disembarked_alert  	   	 	"[greeting] [player_name], 来自 [city_name] 的 [a_foreign_army] 已经在您的海岸登陆并开始进攻. 但愿您的士兵都具有黄帝的英勇战斗精神, 能够保卫您的城市!"
PHRASE_invasion_1month_Warning_AC			"[greeting] [player_name], 准备的时间过去了. 一个月后, [reason_phrase], 来自 [city_name] 的 [a_foreign_army] 就会到达这里, 他们打算征服您的城市. 您的训练有素的指挥官已经准备好, 并制定出了所有的战术战略."

PHRASE_CONDENSED_invasion_title 			"N/A"
PHRASE_CONDENSED_invasion_spy_report		"密探报告说, [a_foreign_army] 将会在一年时间内, 向您的城市靠近."
PHRASE_CONDENSED_invasion_initial_announcement	"[a_foreign_army] 将在 [time_until_attack] 个月后侵略您的城市."
PHRASE_CONDENSED_invasion_6month_notleft_warning 	"[a_foreign_army] 将在六个月后入侵您的城市."
PHRASE_CONDENSED_invasion_6month_warning 		"[a_foreign_army] 将在六个月后入侵您的城市."
PHRASE_CONDENSED_invasion_2month_warning 		"[a_foreign_army] 将在两个月后入侵您的城市."
PHRASE_CONDENSED_invasion_1month_Warning 		"[a_foreign_army] 将在一个月后入侵您的城市."
PHRASE_CONDENSED_invasion_city_attacked_alert  	"[a_foreign_army] 现在就在您的土地上!"
PHRASE_CONDENSED_invasion_reason  	 	 	"由于 [a_foreign_army] 进攻了您"
PHRASE_CONDENSED_invasion_no_reason  	 	""
PHRASE_CONDENSED_invasion_disembarked_alert	"[a_foreign_army] 已经登陆并且正在进攻城市!"
PHRASE_CONDENSED_invasion_1month_Warning_AC	"您的将军们正在等待 [a_foreign_army] 一个月后到达."

;******************** INVASION CALLED OFF
PHRASE_invasion_called_off_title		"[city_name] 取消入侵!!"
PHRASE_invasion_called_off_ally			"好消息, [player_name]!  我们的同盟 [city_name] 根本不想入侵我们的城市.  或许我们可以相信他们."
PHRASE_invasion_called_off_overlord		"好消息, [player_name]!  我们无情的领主 [city_name] 毕竟不想入侵我们的城市.  我们得救了 ... 至少现在是这样."
PHRASE_invasion_called_off_reason		"N/A"

PHRASE_CONDENSED_invasion_called_off_title		"[city_name] 取消入侵!"
PHRASE_CONDENSED_invasion_called_off_ally			"[city_name] 取消入侵!"
PHRASE_CONDENSED_invasion_called_off_overlord		"[city_name] 取消入侵!"
PHRASE_CONDENSED_invasion_called_off_reason		"N/A"

;********************************CITY AND WORLD STATUS CHANGES************************************
; 'trade suspended' and 'trade resumed' are only triggered by provocation.  Reason phrase may be embedded directly in text.
;*****Trade suspended**********************************
PHRASE_trade_suspended_title 						"与 [city_name] 的贸易停顿"
PHRASE_trade_suspended_initial_announcement    			"您侮辱了我, [player_name]. 我, [city_name] 的 [leader_name], 不想再和您贸易了."
PHRASE_trade_suspended_no_reason	  				"N/A"

PHRASE_CONDENSED_trade_suspended_title 				"N/A"
PHRASE_CONDENSED_trade_suspended_initial_announcement		"与 [city_name] 的贸易停止."
PHRASE_CONDENSED_trade_suspended_no_reason	  		"N/A"

;*****Trade resumed**********************************
PHRASE_trade_resumed_title 						"与 [city_name] 的贸易恢复"
